Judul :,General
Total :,100 data
Dicetak :,04/08/2026, 13.36
Oleh:,Akun Trial

"No","Group","Key","Code","Value","Status"
"1","PERIODE GAJI","PRDGJ03","PRDGJ03","HARIAN","true"
"2","TIPE KARYAWAN","PIMPINAN","TK0","PIMPINAN","true"
"3","NOMINAL TERLAMBAT","05","NT05","61","true"
"4","NOMINAL TERLAMBAT","04","NT04","60","true"
"5","NOMINAL TERLAMBAT","03","NT03","45","true"
"6","NOMINAL TERLAMBAT","02","NT02","30","true"
"7","NOMINAL TERLAMBAT","01","NT01","15","true"
"8","ALASAN LEMBUR","ALASAN LEMBUR","ALASAN LEMBUR","TUGAS KE KONSUMEN","true"
"9","JENIS BONUS","JENIS BONUS","MARKETING","PENJUALAN INFORCE","true"
"10","JENIS TUNJANGAN","JENIS TUNJANGAN","MULTIJOB","MULTI JOB","true"
"11","JENIS TUNJANGAN","JENIS TUNJANGAN","TUNJANGAN","KOORDINATOR","true"
"12","JENIS BONUS","JENIS BONUS","ABSENSI","3 BULAN ABSEN SEMPURNA","true"
"13","JENIS BONUS","JENIS BONUS","MARKETING","PENJUALAN BRAND","true"
"14","JENIS POTONGAN","JENIS POTONGAN","JENIS POTONGAN","TIDAK SESUAI SOP","true"
"15","JENIS POTONGAN","JENIS POTONGAN","JENIS POTONGAN","SELISIH STOCK","true"
"16","PENJUALAN","JENIS BONUS","","PENJUALAN","false"
"17","JENIS LIBUR","JENIS LIBUR","JENIS LIBUR","HARI NATAL","true"
"18","ALASAN CUTI","12","ALC-0007","IJIN ORANG TUA MENINGGAL","true"
"19","TIPE KARYAWAN","TR","TK04","TRAINING","true"
"20","JENIS BONUS","JENIS BONUS","BNS","BONUS PERFORMA","false"
"21","TIPE RESIGN","TR03","","LAINNYA","true"
"22","TIPE RESIGN","TR02","","KONTRAK SELESAI","true"
"23","TIPE RESIGN","TR01","","MENGUNDURKAN DIRI","true"
"24","ALASAN CUTI","11","ALC-00011","DISPENSASI","true"
"25","ALASAN CUTI","10","ALC-00010","KHITAN / BAPTIS ANAK","true"
"26","ALASAN CUTI","09","ALC-00009","MENIKAHKAN ANAK","true"
"27","ALASAN CUTI","08","ALC-00008","ANAK / KELUARGA SAKIT","true"
"28","STATUS NIKAH","SNKH03","SNKH03","CERAI HIDUP","true"
"29","TIPEJAM","MALL","MALL","MALL","true"
"30","TIPE KARYAWAN","S","TK03","SELEKSI","true"
"31","TIPE KARYAWAN","K","TK02","KONTRAK","true"
"32","TIPE KARYAWAN","T","TK01","TETAP","true"
"33","KATEGORI PROYEK","KTGR05","","PROGRAMMER","true"
"34","KATEGORI PROYEK","KTGR04","","SISTEM ANALYST","false"
"35","KATEGORI PROYEK","KTGR03","","PROJECT MANAGER","false"
"36","KATEGORI PROYEK","KTGR02","","MARKETING","false"
"37","KATEGORI PROYEK","KTGR01","","ADMINISTRASI","false"
"38","KATEGORI","KATEGORI-01","01","TEST KATEGORI","true"
"39","TIPEJAM","SHIFT SATPAM","SHIFT SATPAM","SHIFT SATPAM","true"
"40","group CONTOH","1","","contoh","false"
"41","GRADE","GRADE","2B","2B","false"
"42","GRADE","GRADE","asdsad","asdasd","false"
"43","GRADE","GRADE","9-Z","Grade 9Z","false"
"44","SETTING","SETTING-BRAND-BG","BRAND-BG","https://server.qqltech.com:7005/uploads/m_file/1112313736022484:::bg.jpeg","true"
"45","SETTING","SETTING-BRAND-LOGO-SMALL","BRAND-LOGO-SMALL","https://msc.qqltech.com:7169/uploads/m_file/013814244905404:::Logo MSC.png","true"
"46","SETTING","SETTING-BRAND-LOGO","BRAND-LOGO","https://msc.qqltech.com:7169/uploads/m_file/013814244905404:::Logo MSC.png","true"
"47","SETTING","SETTING-BRAND-TITLE","BRAND-TITLE","HRIS BBS","true"
"48","PROJECT PIC","PICPRO01","","JOSEF BOEDIARTO","true"
"49","TIPE SUPPORT","TS08","","Support Lainnya","true"
"50","TIPE SUPPORT","TS07","","Application Repair","true"
"51","TIPE SUPPORT","TS06","","Data Maintenance","true"
"52","TIPE SUPPORT","TS05","","Training - Implementation Support","true"
"53","TIPE SUPPORT","TS04","","Data Entry","true"
"54","TIPE SUPPORT","TS03","","Update On Site","true"
"55","TIPE SUPPORT","TS02","","Meeting - Presentation","true"
"56","TIPE SUPPORT","TS01","","Development On Site","true"
"57","PROJECT","PRO03","","PT. Jaya Pratama Teknik","true"
"58","PROJECT","PRO02","","PT. Platinum Cheramics Industry","true"
"59","PROJECT","PRO01","","PT. Temprina Media Grafika (Jawa Pos Group)","true"
"60","DEFAULT MENU","default_menu","DEFAULT MENU","Pesan Makan Siang,Perjalanan Dinas,Profil,Absen Online","false"
"61","TIPE LAUK","TPLK04","","Buah","true"
"62","TIPE LAUK","TPLK03","","Nasi","true"
"63","TIPE LAUK","TPLK02","","Lauk","true"
"64","TIPE LAUK","TPLK01","","Sayur","true"
"65","GRADE","GRADE","4C","4CE","false"
"66","GRADE","GRADE","2E","2E","false"
"67","TIPE CUTI","01","TCT-00001","MELAHIRKAN","true"
"68","GRADING","GRADE","MANAGER","MANAGER","true"
"69","GRADING","GRADE","OPERATOR","OPERATOR","true"
"70","REKENING TRANSFER","REKENING TRANSFER","MANDIRI","00098283232","true"
"71","TABLE CUTI MASA KERJA","5","","288","true"
"72","TABLE CUTI MASA KERJA","3","","265","true"
"73","TABLE CUTI MASA KERJA","5","","229","true"
"74","TABLE CUTI MASA KERJA","3","","205","true"
"75","TABLE CUTI MASA KERJA","5","","169","true"
"76","TABLE CUTI MASA KERJA","3","","145","true"
"77","TABLE CUTI MASA KERJA","5","","108","true"
"78","TABLE CUTI MASA KERJA","3","","85","true"
"79","TABLE CUTI MASA KERJA","5","","49","true"
"80","TABLE CUTI MASA KERJA","3","","24","true"
"81","TABLE CUTI REGULER","20","","229","true"
"82","TABLE CUTI REGULER","19","","115","true"
